Var1	Var2	value	pval	adjp	pair
hsa-miR-1298-3p	MAST4	-0.326110344112823	2.23633624507613e-07	0.0123228374373783	hsa-miR-1298-3p MAST4
hsa-miR-221-5p	MAST4	-0.297720398314635	2.5391422262544e-06	0.0366692491695802	hsa-miR-221-5p MAST4
hsa-miR-486-5p	MAST4	0.32152642038658	3.36811879719789e-07	0.0147361049210574	hsa-miR-486-5p MAST4
hsa-miR-7-5p	MAST4	-0.294660059658444	3.25052410810045e-06	0.0408706322698037	hsa-miR-7-5p MAST4
hsa-miR-1908-3p	JMJD6	-0.304527691203153	1.45090023639938e-06	0.0293432730539499	hsa-miR-1908-3p JMJD6
hsa-miR-6836-5p	JMJD6	-0.334716439063042	1.0177381204457e-07	0.00844072632688689	hsa-miR-6836-5p JMJD6
hsa-miR-4800-3p	CSNK2A2	-0.314388680658574	6.28806065883225e-07	0.0205968760955871	hsa-miR-4800-3p CSNK2A2
hsa-miR-6790-3p	CSNK2A2	-0.291303623494515	4.24799558906841e-06	0.046154694949156	hsa-miR-6790-3p CSNK2A2
hsa-miR-619-5p	CDC42	0.295067891672078	3.14579116267311e-06	0.0402910583447561	hsa-miR-619-5p CDC42
hsa-miR-1226-3p	TCF3	-0.292951439370234	3.72653993463423e-06	0.0433950700415135	hsa-miR-1226-3p TCF3
hsa-miR-619-5p	P4HA2	-0.295661071371649	2.99918454471637e-06	0.0391531386040855	hsa-miR-619-5p P4HA2
hsa-miR-6836-5p	P4HA2	-0.290072951347052	4.68201201009322e-06	0.0478624186968186	hsa-miR-6836-5p P4HA2
hsa-miR-889-3p	NDE1	-0.296738010390838	2.74950636791615e-06	0.0379248242266229	hsa-miR-889-3p NDE1
hsa-miR-448	CLCN4	-0.289047744641284	5.07547818262566e-06	0.0493742654255369	hsa-miR-448 CLCN4
hsa-miR-671-3p	KDM5A	0.308103243513917	1.07520737802069e-06	0.0258465380608708	hsa-miR-671-3p KDM5A
hsa-miR-497-5p	WSCD2	0.290107422511576	4.66930053155679e-06	0.0478624186968186	hsa-miR-497-5p WSCD2
hsa-miR-1908-3p	FOSL2	-0.299147003640857	2.26079550547098e-06	0.0349940536573287	hsa-miR-1908-3p FOSL2
hsa-miR-27a-5p	FOSL2	0.299991765049486	2.1099621076992e-06	0.0342380366115994	hsa-miR-27a-5p FOSL2
hsa-miR-3162-3p	FOSL2	-0.309411707969024	9.62575890106621e-07	0.0248823801790423	hsa-miR-3162-3p FOSL2
hsa-miR-27b-3p	PLXNA2	-0.29120438635349	4.2815216403369e-06	0.0462412978148321	hsa-miR-27b-3p PLXNA2
hsa-miR-362-5p	PLXNA2	0.291078103312387	4.32454918941616e-06	0.046427542666886	hsa-miR-362-5p PLXNA2
hsa-miR-656-5p	ARAF	0.288857656714484	5.15180833904338e-06	0.0497370804077451	hsa-miR-656-5p ARAF
hsa-miR-100-5p	NRD1	-0.295478240990045	3.04366272319001e-06	0.039429034721371	hsa-miR-100-5p NRD1
hsa-miR-3185	NRD1	0.335136529564636	9.7876170279676e-08	0.00826995643580276	hsa-miR-3185 NRD1
hsa-miR-221-5p	MYH7B	-0.303558518308561	1.57260036881546e-06	0.0308152068808323	hsa-miR-221-5p MYH7B
hsa-miR-1264	OSBPL6	-0.300166406571665	2.08000109802597e-06	0.0339829738991	hsa-miR-1264 OSBPL6
hsa-miR-1298-3p	OSBPL6	-0.303440005741025	1.58813448547512e-06	0.0308152068808323	hsa-miR-1298-3p OSBPL6
hsa-miR-30c-5p	OSBPL6	0.293104987171658	3.68118489113556e-06	0.0433705865364458	hsa-miR-30c-5p OSBPL6
hsa-miR-34a-5p	OSBPL6	0.30650243980892	1.23018963060773e-06	0.0274278920277932	hsa-miR-34a-5p OSBPL6
hsa-miR-362-5p	SAR1A	-0.30259389939159	1.70337413285537e-06	0.0315645709120457	hsa-miR-362-5p SAR1A
hsa-miR-433-5p	SAR1A	0.29074791544994	4.43900585511692e-06	0.0469274871399065	hsa-miR-433-5p SAR1A
hsa-miR-155-5p	LRRC16A	0.321791000851284	3.29004435251079e-07	0.0146937513650516	hsa-miR-155-5p LRRC16A
hsa-miR-301a-5p	DCT	0.295459363449494	3.04829081487767e-06	0.0394438589188033	hsa-miR-301a-5p DCT
hsa-miR-302c-3p	PKP1	0.289992981294497	4.71162847937023e-06	0.0478624186968186	hsa-miR-302c-3p PKP1
hsa-miR-31-5p	EPB41L3	0.308407163259607	1.04797402822321e-06	0.0257850171015972	hsa-miR-31-5p EPB41L3
hsa-miR-448	EPB41L3	-0.331949045275259	1.31439362949237e-07	0.00919742861055424	hsa-miR-448 EPB41L3
hsa-miR-204-3p	TRPM3	0.29131460378799	4.24430142853538e-06	0.046154694949156	hsa-miR-204-3p TRPM3
hsa-miR-204-5p	TRPM3	0.363567591122611	6.06512395862069e-09	0.00188486589667425	hsa-miR-204-5p TRPM3
hsa-miR-6763-3p	ZNF264	-0.341576388481766	5.33972808192118e-08	0.00587435960331947	hsa-miR-6763-3p ZNF264
hsa-miR-486-5p	NCOA1	0.298469673082634	2.38911056404945e-06	0.035545337664841	hsa-miR-486-5p NCOA1
hsa-miR-6763-3p	BCORL1	-0.291369624665375	4.22583647097241e-06	0.0460942110276134	hsa-miR-6763-3p BCORL1
hsa-miR-302c-3p	ATRX	0.299570760907082	2.18389090322901e-06	0.0344860009593932	hsa-miR-302c-3p ATRX
hsa-miR-31-5p	PREP	0.288877085431389	5.14395687134517e-06	0.0497370804077451	hsa-miR-31-5p PREP
hsa-miR-1-3p	TTC39A	0.320512356646824	3.68413965112779e-07	0.0155065383133223	hsa-miR-1-3p TTC39A
hsa-miR-125b-1-3p	TTC39A	-0.299026759089958	2.2830841848176e-06	0.0349940536573287	hsa-miR-125b-1-3p TTC39A
hsa-miR-193b-3p	TTC39A	-0.291729989233344	4.10677627638023e-06	0.0454643981682875	hsa-miR-193b-3p TTC39A
hsa-miR-30d-3p	TTC39A	0.310371430289762	8.87235542146314e-07	0.0240322095184264	hsa-miR-30d-3p TTC39A
hsa-miR-34a-5p	TTC39A	0.29587917767009	2.94693493296805e-06	0.0389787434341827	hsa-miR-34a-5p TTC39A
hsa-miR-448	TTC39A	-0.309209883324998	9.79180375004773e-07	0.0251033808333276	hsa-miR-448 TTC39A
hsa-miR-582-5p	ATG16L1	-0.293978313227281	3.43305793659709e-06	0.0419652071831462	hsa-miR-582-5p ATG16L1
hsa-miR-4303	CHMP5	0.301993497414362	1.7899472641858e-06	0.0319655388868265	hsa-miR-4303 CHMP5
hsa-miR-27a-5p	PPP1R15A	0.298556807950152	2.37222241850077e-06	0.0353870762846955	hsa-miR-27a-5p PPP1R15A
hsa-miR-34a-5p	ADAMTS2	0.299783903579797	2.14615917792926e-06	0.0344860009593932	hsa-miR-34a-5p ADAMTS2
hsa-miR-448	ADAMTS2	-0.319528667582561	4.01773977642961e-07	0.0164216017624517	hsa-miR-448 ADAMTS2
hsa-miR-323a-3p	PTHLH	0.29683068635204	2.72897239916858e-06	0.0378242290995881	hsa-miR-323a-3p PTHLH
hsa-miR-6763-3p	KIF9	0.2894548113814	4.91562374693721e-06	0.0489496083388874	hsa-miR-6763-3p KIF9
hsa-miR-27a-5p	ANAPC5	-0.290625982936713	4.48199726710286e-06	0.0471180096096338	hsa-miR-27a-5p ANAPC5
hsa-miR-195-5p	SLC8B1	-0.290446390535807	4.54604111554957e-06	0.0474826697368285	hsa-miR-195-5p SLC8B1
hsa-miR-30c-5p	SLC8B1	-0.318178229610783	4.52319036448046e-07	0.0173015179337374	hsa-miR-30c-5p SLC8B1
hsa-miR-106a-5p	RPLP0	-0.289663310128789	4.83561369146734e-06	0.0485402004773078	hsa-miR-106a-5p RPLP0
hsa-miR-10400-5p	RCOR1	-0.326406902673619	2.17735726337764e-07	0.0121868708002054	hsa-miR-10400-5p RCOR1
hsa-miR-3960	RCOR1	-0.293055391508381	3.69577667980181e-06	0.0433950700415135	hsa-miR-3960 RCOR1
hsa-miR-4800-3p	RCOR1	-0.322530517290517	3.08092165557383e-07	0.0142962416615852	hsa-miR-4800-3p RCOR1
hsa-miR-6741-3p	RCOR1	-0.289009746989788	5.09064962805894e-06	0.0494317184928874	hsa-miR-6741-3p RCOR1
hsa-miR-6790-3p	RCOR1	-0.347494327706937	3.02254083983655e-08	0.00433187721924588	hsa-miR-6790-3p RCOR1
hsa-miR-4303	MRPS33	0.304959698671675	1.39960131195771e-06	0.0290509908322432	hsa-miR-4303 MRPS33
hsa-miR-660-5p	NDUFB2	-0.289523392214433	4.88916826468788e-06	0.0487719561774967	hsa-miR-660-5p NDUFB2
